snapshot_ts,system_id,listing_id,vehicle_id,commune,lat,lon,is_reserved,is_disabled,current_range_meters,vehicle_type_id,make,model,year,propulsion,pricing_plan_id,hourly_rate,daily_rate,rental_url
2026-08-29T00:10:23,paris,261942,YGA:Vehicle:49e87dcf6f6b,colombes,48.928352,2.238537,0,0,654545,YGA:VehicleType:49e87dcf6f6b,Citroen,Jumper,2011,combustion_diesel,YGA:PricingPlan:49e87dcf6f6b,8.0,71.0,https://fr.getaround.com/location-voiture/colombes/citroen-jumper-261942
2026-08-29T00:10:23,paris,284458,YGA:Vehicle:42ef0fdc8631,paris,48.879673,2.350951,0,0,600000,YGA:VehicleType:42ef0fdc8631,Fiat,Fiorino,2017,combustion,YGA:PricingPlan:42ef0fdc8631,7.0,53.0,https://fr.getaround.com/location-voiture/paris/fiat-fiorino-284458
2026-08-29T00:10:23,paris,285756,YGA:Vehicle:bc3543f37f03,paris,48.846066,2.307014,0,0,514285,YGA:VehicleType:bc3543f37f03,Fiat,Fiorino,2017,combustion,YGA:PricingPlan:bc3543f37f03,7.0,56.0,https://fr.getaround.com/location-voiture/paris/fiat-fiorino-285756
2026-08-29T00:10:23,paris,319121,YGA:Vehicle:fd6b4cfa5481,paris,48.839561,2.380247,0,0,760000,YGA:VehicleType:fd6b4cfa5481,Volkswagen,Polo,2017,combustion,YGA:PricingPlan:fd6b4cfa5481,6.0,45.0,https://fr.getaround.com/location-voiture/paris/volkswagen-polo-319121
2026-08-29T00:10:23,paris,360416,YGA:Vehicle:f5cc515673b9,boulogne-billancourt,48.838978,2.251632,0,0,1142857,YGA:VehicleType:f5cc515673b9,Renault,Trafic Passenger,2015,combustion_diesel,YGA:PricingPlan:f5cc515673b9,12.0,89.0,https://fr.getaround.com/location-voiture/boulogne-billancourt/renault-trafic-passenger-360416
2026-08-29T00:10:23,paris,366247,YGA:Vehicle:76367bdef11f,boulogne-billancourt,48.830292,2.237212,0,0,910000,YGA:VehicleType:76367bdef11f,Peugeot,2008,2018,combustion,YGA:PricingPlan:76367bdef11f,7.0,50.0,https://fr.getaround.com/location-voiture/boulogne-billancourt/peugeot-2008-366247
2026-08-29T00:10:23,paris,438359,YGA:Vehicle:6e0c2f0cb645,paris,48.866596,2.380868,0,0,900000,YGA:VehicleType:6e0c2f0cb645,Peugeot,Partner,2013,combustion_diesel,YGA:PricingPlan:6e0c2f0cb645,6.0,49.0,https://fr.getaround.com/location-voiture/paris/peugeot-partner-438359
2026-08-29T00:10:23,paris,445323,YGA:Vehicle:c1a4b3dd2eab,montreuil,48.854,2.426798,0,0,5760000,YGA:VehicleType:c1a4b3dd2eab,,,,,YGA:PricingPlan:c1a4b3dd2eab,,,https://fr.getaround.com/location-voiture/montreuil/renault-kangoo-express-445323
2026-08-29T00:10:23,paris,473620,YGA:Vehicle:03c8cb1508e5,paris,48.853367,2.394739,0,0,400000,YGA:VehicleType:03c8cb1508e5,Dacia,Lodgy,2017,combustion,YGA:PricingPlan:03c8cb1508e5,5.0,37.0,https://fr.getaround.com/location-voiture/paris/dacia-lodgy-473620
2026-08-29T00:10:23,paris,475878,YGA:Vehicle:d3061b8a82d0,colombes,48.928352,2.238537,0,0,1335000,YGA:VehicleType:d3061b8a82d0,Renault,Master,2017,combustion_diesel,YGA:PricingPlan:d3061b8a82d0,9.0,71.0,https://fr.getaround.com/location-voiture/colombes/renault-master-475878
2026-08-29T00:10:23,paris,508096,YGA:Vehicle:11acdb09821d,saint-ouen-sur-seine,48.902092,2.331589,0,0,328000,YGA:VehicleType:11acdb09821d,Nissan,Micra,2019,combustion,YGA:PricingPlan:11acdb09821d,6.0,43.0,https://fr.getaround.com/location-voiture/saint-ouen-sur-seine/nissan-micra-508096
2026-08-29T00:10:23,paris,554073,YGA:Vehicle:4a6479cc7b7f,paris,48.888428,2.389036,0,0,180000,YGA:VehicleType:4a6479cc7b7f,Renault,Clio,2016,combustion,YGA:PricingPlan:4a6479cc7b7f,5.0,36.0,https://fr.getaround.com/location-voiture/paris/renault-clio-554073
2026-08-29T00:10:23,paris,558004,YGA:Vehicle:632aea419d3e,clamart,48.813297,2.270537,0,0,500000,YGA:VehicleType:632aea419d3e,Dacia,Sandero,2018,combustion,YGA:PricingPlan:632aea419d3e,5.0,38.0,https://fr.getaround.com/location-voiture/clamart/dacia-sandero-558004
2026-08-29T00:10:23,paris,567074,YGA:Vehicle:f07121e7f250,neuilly-sur-seine,48.882866,2.271224,0,0,436500,YGA:VehicleType:f07121e7f250,Volkswagen,Polo,2016,combustion,YGA:PricingPlan:f07121e7f250,6.0,44.0,https://fr.getaround.com/location-voiture/neuilly-sur-seine/volkswagen-polo-567074
2026-08-29T00:10:23,paris,573666,YGA:Vehicle:7749019708d2,paris,48.873299,2.393852,0,0,522000,YGA:VehicleType:7749019708d2,Renault,Trafic,2013,combustion_diesel,YGA:PricingPlan:7749019708d2,8.0,62.0,https://fr.getaround.com/location-voiture/paris/renault-trafic-573666
2026-08-29T00:10:23,paris,595937,YGA:Vehicle:e545a6d90592,montreuil,48.87072,2.432322,0,0,280000,YGA:VehicleType:e545a6d90592,Peugeot,Expert,2014,combustion_diesel,YGA:PricingPlan:e545a6d90592,8.0,59.0,https://fr.getaround.com/location-voiture/montreuil/peugeot-expert-595937
2026-08-29T00:10:23,paris,601877,YGA:Vehicle:a55e7de4c59e,paris,48.866577,2.409152,0,0,720000,YGA:VehicleType:a55e7de4c59e,Peugeot,Boxer,2011,combustion_diesel,YGA:PricingPlan:a55e7de4c59e,11.0,81.0,https://fr.getaround.com/location-voiture/paris/peugeot-boxer-601877
2026-08-29T00:10:23,paris,607276,YGA:Vehicle:24183823685d,montreuil,48.856033,2.430927,0,0,132000,YGA:VehicleType:24183823685d,Renault,Kangoo Express,2014,combustion_diesel,YGA:PricingPlan:24183823685d,7.0,54.0,https://fr.getaround.com/location-voiture/montreuil/renault-kangoo-express-607276
2026-08-29T00:10:23,paris,622467,YGA:Vehicle:b2a53b93b7bd,paris,48.865501,2.40892,0,0,344000,YGA:VehicleType:b2a53b93b7bd,Ford,Transit Fourgon,2012,combustion_diesel,YGA:PricingPlan:b2a53b93b7bd,11.0,79.0,https://fr.getaround.com/location-voiture/paris/ford-transit-fourgon-622467
2026-08-29T00:10:23,paris,625152,YGA:Vehicle:c2f6de09e582,paris,48.824352,2.341341,0,0,307400,YGA:VehicleType:c2f6de09e582,Renault,Grand Scenic,2019,combustion_diesel,YGA:PricingPlan:c2f6de09e582,9.0,72.0,https://fr.getaround.com/location-voiture/paris/renault-grand-scenic-625152
2026-08-29T00:10:23,paris,641035,YGA:Vehicle:27434dc1b52b,paris,48.826054,2.361718,0,0,350000,YGA:VehicleType:27434dc1b52b,Fiat,500,2016,combustion,YGA:PricingPlan:27434dc1b52b,7.0,61.0,https://fr.getaround.com/location-voiture/paris/fiat-500-641035
2026-08-29T00:10:23,paris,642031,YGA:Vehicle:9f2f625bebe5,montrouge,48.815624,2.326289,0,0,440000,YGA:VehicleType:9f2f625bebe5,Nissan,NV200,2012,combustion_diesel,YGA:PricingPlan:9f2f625bebe5,6.0,40.0,https://fr.getaround.com/location-voiture/montrouge/nissan-nv200-642031
2026-08-29T00:10:23,paris,653362,YGA:Vehicle:0015c6b5ba9f,paris,48.826054,2.361718,0,0,378000,YGA:VehicleType:0015c6b5ba9f,Renault,Clio,2017,combustion,YGA:PricingPlan:0015c6b5ba9f,6.0,47.0,https://fr.getaround.com/location-voiture/paris/renault-clio-653362
2026-08-29T00:10:23,paris,657813,YGA:Vehicle:4ce92a8badb5,paris,48.866543,2.410436,0,0,262500,YGA:VehicleType:4ce92a8badb5,Citroen,C1,2015,combustion,YGA:PricingPlan:4ce92a8badb5,5.0,40.0,https://fr.getaround.com/location-voiture/paris/citroen-c1-657813
