snapshot_ts,system_id,listing_id,vehicle_id,commune,lat,lon,is_reserved,is_disabled,current_range_meters,vehicle_type_id,make,model,year,propulsion,pricing_plan_id,hourly_rate,daily_rate,rental_url
2026-08-12T00:05:42,paris,261942,YGA:Vehicle:def324233822,colombes,48.928352,2.238537,0,0,654545,YGA:VehicleType:def324233822,Citroen,Jumper,2011,combustion_diesel,YGA:PricingPlan:def324233822,8.0,71.0,https://fr.getaround.com/location-voiture/colombes/citroen-jumper-261942
2026-08-12T00:05:42,paris,285756,YGA:Vehicle:2ae381701e10,paris,48.846066,2.307014,0,0,514285,YGA:VehicleType:2ae381701e10,Fiat,Fiorino,2017,combustion,YGA:PricingPlan:2ae381701e10,7.0,56.0,https://fr.getaround.com/location-voiture/paris/fiat-fiorino-285756
2026-08-12T00:05:42,paris,319121,YGA:Vehicle:189a3de8a92c,paris,48.839561,2.380247,0,0,760000,YGA:VehicleType:189a3de8a92c,Volkswagen,Polo,2017,combustion,YGA:PricingPlan:189a3de8a92c,6.0,45.0,https://fr.getaround.com/location-voiture/paris/volkswagen-polo-319121
2026-08-12T00:05:42,paris,360416,YGA:Vehicle:f5cc515673b9,boulogne-billancourt,48.838978,2.251632,0,0,1142857,YGA:VehicleType:f5cc515673b9,Renault,Trafic Passenger,2015,combustion_diesel,YGA:PricingPlan:f5cc515673b9,12.0,89.0,https://fr.getaround.com/location-voiture/boulogne-billancourt/renault-trafic-passenger-360416
2026-08-12T00:05:42,paris,366247,YGA:Vehicle:598be2379159,boulogne-billancourt,48.830292,2.237212,0,0,890000,YGA:VehicleType:598be2379159,Peugeot,2008,2018,combustion,YGA:PricingPlan:598be2379159,7.0,50.0,https://fr.getaround.com/location-voiture/boulogne-billancourt/peugeot-2008-366247
2026-08-12T00:05:42,paris,404999,YGA:Vehicle:4781c1f8d2b0,paris,48.864685,2.407357,0,0,945000,YGA:VehicleType:4781c1f8d2b0,Renault,Clio,2012,combustion_diesel,YGA:PricingPlan:4781c1f8d2b0,6.0,43.0,https://fr.getaround.com/location-voiture/paris/renault-clio-404999
2026-08-12T00:05:42,paris,438359,YGA:Vehicle:1f9ffdd0c31b,paris,48.866596,2.380868,0,0,1188000,YGA:VehicleType:1f9ffdd0c31b,Peugeot,Partner,2013,combustion_diesel,YGA:PricingPlan:1f9ffdd0c31b,6.0,49.0,https://fr.getaround.com/location-voiture/paris/peugeot-partner-438359
2026-08-12T00:05:42,paris,445323,YGA:Vehicle:b6fa821a08b1,montreuil,48.854,2.426798,0,0,5760000,YGA:VehicleType:b6fa821a08b1,Renault,Kangoo Express,2014,combustion_diesel,YGA:PricingPlan:b6fa821a08b1,7.0,54.0,https://fr.getaround.com/location-voiture/montreuil/renault-kangoo-express-445323
2026-08-12T00:05:42,paris,473620,YGA:Vehicle:4115d68d1c8d,paris,48.853367,2.394739,0,0,400000,YGA:VehicleType:4115d68d1c8d,Dacia,Lodgy,2017,combustion,YGA:PricingPlan:4115d68d1c8d,5.0,37.0,https://fr.getaround.com/location-voiture/paris/dacia-lodgy-473620
2026-08-12T00:05:42,paris,475878,YGA:Vehicle:6aed2eca88f9,gennevilliers,48.933647,2.306766,0,0,1425000,YGA:VehicleType:6aed2eca88f9,Renault,Master,2017,combustion_diesel,YGA:PricingPlan:6aed2eca88f9,9.0,71.0,https://fr.getaround.com/location-voiture/gennevilliers/renault-master-475878
