snapshot_ts,system_id,listing_id,vehicle_id,commune,lat,lon,is_reserved,is_disabled,current_range_meters,vehicle_type_id,make,model,year,propulsion,pricing_plan_id,hourly_rate,daily_rate,rental_url
2026-07-28T00:02:54,paris,261942,YGA:Vehicle:3a1bb7e58124,colombes,48.928352,2.238537,0,0,654545,YGA:VehicleType:3a1bb7e58124,Citroen,Jumper,2011,combustion_diesel,YGA:PricingPlan:3a1bb7e58124,8.0,68.0,https://fr.getaround.com/location-voiture/colombes/citroen-jumper-261942
2026-07-28T00:02:54,paris,284458,YGA:Vehicle:776cea63c1a5,paris,48.879673,2.350951,0,0,600000,YGA:VehicleType:776cea63c1a5,Fiat,Fiorino,2017,combustion,YGA:PricingPlan:776cea63c1a5,7.0,53.0,https://fr.getaround.com/location-voiture/paris/fiat-fiorino-284458
2026-07-28T00:02:54,paris,285756,YGA:Vehicle:a3680ebd7fd5,paris,48.846066,2.307014,0,0,514285,YGA:VehicleType:a3680ebd7fd5,Fiat,Fiorino,2017,combustion,YGA:PricingPlan:a3680ebd7fd5,7.0,56.0,https://fr.getaround.com/location-voiture/paris/fiat-fiorino-285756
2026-07-28T00:02:54,paris,319121,YGA:Vehicle:ceafa238b52f,paris,48.839561,2.380247,0,0,760000,YGA:VehicleType:ceafa238b52f,Volkswagen,Polo,2017,combustion,YGA:PricingPlan:ceafa238b52f,6.0,45.0,https://fr.getaround.com/location-voiture/paris/volkswagen-polo-319121
2026-07-28T00:02:54,paris,404999,YGA:Vehicle:64029129843b,paris,48.864685,2.407357,0,0,1125000,YGA:VehicleType:64029129843b,Renault,Clio,2012,combustion_diesel,YGA:PricingPlan:64029129843b,6.0,43.0,https://fr.getaround.com/location-voiture/paris/renault-clio-404999
2026-07-28T00:02:54,paris,438359,YGA:Vehicle:f7e2fc855f1b,paris,48.866596,2.380868,0,0,1188000,YGA:VehicleType:f7e2fc855f1b,Peugeot,Partner,2013,combustion_diesel,YGA:PricingPlan:f7e2fc855f1b,6.0,49.0,https://fr.getaround.com/location-voiture/paris/peugeot-partner-438359
2026-07-28T00:02:54,paris,445323,YGA:Vehicle:1f68fc02aad3,montreuil,48.854,2.426798,0,0,5760000,YGA:VehicleType:1f68fc02aad3,Renault,Kangoo Express,2014,combustion_diesel,YGA:PricingPlan:1f68fc02aad3,7.0,54.0,https://fr.getaround.com/location-voiture/montreuil/renault-kangoo-express-445323
2026-07-28T00:02:54,paris,473620,YGA:Vehicle:54610304b295,paris,48.853367,2.394739,0,0,400000,YGA:VehicleType:54610304b295,Dacia,Lodgy,2017,combustion,YGA:PricingPlan:54610304b295,5.0,37.0,https://fr.getaround.com/location-voiture/paris/dacia-lodgy-473620
2026-07-28T00:02:54,paris,475878,YGA:Vehicle:2d34fed2b6a6,gennevilliers,48.933647,2.306766,0,0,1200000,YGA:VehicleType:2d34fed2b6a6,Renault,Master,2017,combustion_diesel,YGA:PricingPlan:2d34fed2b6a6,9.0,71.0,https://fr.getaround.com/location-voiture/gennevilliers/renault-master-475878
2026-07-28T00:02:54,paris,509497,YGA:Vehicle:8e908b24f936,saint-ouen-sur-seine,48.912121,2.336021,0,0,328000,YGA:VehicleType:8e908b24f936,Nissan,Micra,2019,combustion,YGA:PricingPlan:8e908b24f936,6.0,43.0,https://fr.getaround.com/location-voiture/saint-ouen-sur-seine/nissan-micra-509497
2026-07-28T00:02:54,paris,554073,YGA:Vehicle:f82e8dba2c66,paris,48.888428,2.389036,0,0,360000,YGA:VehicleType:f82e8dba2c66,Renault,Clio,2016,combustion,YGA:PricingPlan:f82e8dba2c66,5.0,36.0,https://fr.getaround.com/location-voiture/paris/renault-clio-554073
2026-07-28T00:02:54,paris,563736,YGA:Vehicle:55eb29912a4b,paris,48.855156,2.340991,0,0,189000,YGA:VehicleType:55eb29912a4b,Renault,Clio,2014,combustion,YGA:PricingPlan:55eb29912a4b,4.0,33.0,https://fr.getaround.com/location-voiture/paris/renault-clio-563736
2026-07-28T00:02:54,paris,567074,YGA:Vehicle:6d8946c6a3d8,neuilly-sur-seine,48.882866,2.271224,0,0,171000,YGA:VehicleType:6d8946c6a3d8,Volkswagen,Polo,2016,combustion,YGA:PricingPlan:6d8946c6a3d8,6.0,44.0,https://fr.getaround.com/location-voiture/neuilly-sur-seine/volkswagen-polo-567074
2026-07-28T00:02:54,paris,573666,YGA:Vehicle:2e8537916f6c,paris,48.873299,2.393852,0,0,333000,YGA:VehicleType:2e8537916f6c,Renault,Trafic,2013,combustion_diesel,YGA:PricingPlan:2e8537916f6c,8.0,60.0,https://fr.getaround.com/location-voiture/paris/renault-trafic-573666
2026-07-28T00:02:54,paris,595937,YGA:Vehicle:898e5f3b1dc0,montreuil,48.87072,2.432322,0,0,320000,YGA:VehicleType:898e5f3b1dc0,Peugeot,Expert,2014,combustion_diesel,YGA:PricingPlan:898e5f3b1dc0,8.0,59.0,https://fr.getaround.com/location-voiture/montreuil/peugeot-expert-595937
2026-07-28T00:02:54,paris,599257,YGA:Vehicle:be248f42bef7,la-garenne-colombes,48.911098,2.247122,0,0,1050000,YGA:VehicleType:be248f42bef7,Renault,Master,2015,combustion_diesel,YGA:PricingPlan:be248f42bef7,11.0,83.0,https://fr.getaround.com/location-voiture/la-garenne-colombes/renault-master-599257
2026-07-28T00:02:54,paris,601137,YGA:Vehicle:06353cc580dc,paris,48.865032,2.408973,0,0,720000,YGA:VehicleType:06353cc580dc,Fiat,Ducato,2013,combustion_diesel,YGA:PricingPlan:06353cc580dc,11.0,84.0,https://fr.getaround.com/location-voiture/paris/fiat-ducato-601137
2026-07-28T00:02:54,paris,601143,YGA:Vehicle:bd71077a0307,paris,48.856422,2.406225,0,0,198000,YGA:VehicleType:bd71077a0307,Renault,Clio,2016,combustion,YGA:PricingPlan:bd71077a0307,7.0,41.0,https://fr.getaround.com/location-voiture/paris/renault-clio-601143
2026-07-28T00:02:54,paris,601877,YGA:Vehicle:91781fcedc31,paris,48.866577,2.409152,0,0,720000,YGA:VehicleType:91781fcedc31,Peugeot,Boxer,2011,combustion_diesel,YGA:PricingPlan:91781fcedc31,11.0,81.0,https://fr.getaround.com/location-voiture/paris/peugeot-boxer-601877
2026-07-28T00:02:54,paris,622467,YGA:Vehicle:2c3b611b1494,paris,48.865501,2.40892,0,0,152000,YGA:VehicleType:2c3b611b1494,Ford,Transit Fourgon,2012,combustion_diesel,YGA:PricingPlan:2c3b611b1494,11.0,79.0,https://fr.getaround.com/location-voiture/paris/ford-transit-fourgon-622467
2026-07-28T00:02:54,paris,625152,YGA:Vehicle:29e8c178c53a,paris,48.824352,2.341341,0,0,413400,YGA:VehicleType:29e8c178c53a,Renault,Grand Scenic,2019,combustion_diesel,YGA:PricingPlan:29e8c178c53a,9.0,72.0,https://fr.getaround.com/location-voiture/paris/renault-grand-scenic-625152
2026-07-28T00:02:54,paris,641035,YGA:Vehicle:cd9eb933f0e2,paris,48.826054,2.361718,0,0,346500,YGA:VehicleType:cd9eb933f0e2,Fiat,500,2016,combustion,YGA:PricingPlan:cd9eb933f0e2,7.0,61.0,https://fr.getaround.com/location-voiture/paris/fiat-500-641035
2026-07-28T00:02:54,paris,653362,YGA:Vehicle:64d6c1976626,paris,48.826054,2.361718,0,0,387000,YGA:VehicleType:64d6c1976626,Renault,Clio,2017,combustion,YGA:PricingPlan:64d6c1976626,6.0,47.0,https://fr.getaround.com/location-voiture/paris/renault-clio-653362
2026-07-28T00:02:54,paris,657838,YGA:Vehicle:91bf42777c21,paris,48.866467,2.40945,0,0,810000,YGA:VehicleType:91bf42777c21,Renault,Trafic,2013,combustion_diesel,YGA:PricingPlan:91bf42777c21,8.0,63.0,https://fr.getaround.com/location-voiture/paris/renault-trafic-657838
2026-07-28T00:02:54,paris,662114,YGA:Vehicle:19ef3ecdd323,paris,48.852524,2.314226,0,0,360000,YGA:VehicleType:19ef3ecdd323,Fiat,Fiorino,2020,combustion,YGA:PricingPlan:19ef3ecdd323,7.0,52.0,https://fr.getaround.com/location-voiture/paris/fiat-fiorino-662114
2026-07-28T00:02:54,paris,663093,YGA:Vehicle:9b3ac3ea3afa,clichy,48.897938,2.309719,0,0,450000,YGA:VehicleType:9b3ac3ea3afa,Skoda,Fabia,2020,combustion,YGA:PricingPlan:9b3ac3ea3afa,7.0,47.0,https://fr.getaround.com/location-voiture/clichy/skoda-fabia-663093
2026-07-28T00:02:54,paris,663656,YGA:Vehicle:bfcf15e3d443,paris,48.837746,2.40357,0,0,600000,YGA:VehicleType:bfcf15e3d443,Renault,Kangoo Express,2016,combustion_diesel,YGA:PricingPlan:bfcf15e3d443,6.0,42.0,https://fr.getaround.com/location-voiture/paris/renault-kangoo-express-663656
2026-07-28T00:02:54,paris,667320,YGA:Vehicle:5f2fd21e83b2,paris,48.824924,2.369448,0,0,450000,YGA:VehicleType:5f2fd21e83b2,Renault,Clio,2017,combustion,YGA:PricingPlan:5f2fd21e83b2,5.0,37.0,https://fr.getaround.com/location-voiture/paris/renault-clio-667320
2026-07-28T00:02:54,paris,673901,YGA:Vehicle:91c45c85e8c3,paris,48.842957,2.317132,0,0,279000,YGA:VehicleType:91c45c85e8c3,Renault,Clio,2017,combustion,YGA:PricingPlan:91c45c85e8c3,5.0,37.0,https://fr.getaround.com/location-voiture/paris/renault-clio-673901
2026-07-28T00:02:54,paris,676141,YGA:Vehicle:7f46792dc48d,paris,48.894657,2.330369,0,0,409500,YGA:VehicleType:7f46792dc48d,Renault,Clio,2016,combustion,YGA:PricingPlan:7f46792dc48d,4.0,33.0,https://fr.getaround.com/location-voiture/paris/renault-clio-676141
2026-07-28T00:02:54,paris,676257,YGA:Vehicle:7b39cc18d5ff,paris,48.891415,2.348322,0,0,286000,YGA:VehicleType:7b39cc18d5ff,Renault,Clio Estate,2011,combustion_diesel,YGA:PricingPlan:7b39cc18d5ff,7.0,49.0,https://fr.getaround.com/location-voiture/paris/renault-clio-estate-676257
2026-07-28T00:02:54,paris,692945,YGA:Vehicle:3ff84b4c79f9,paris,48.864346,2.374354,0,0,450000,YGA:VehicleType:3ff84b4c79f9,Renault,Clio,2017,combustion,YGA:PricingPlan:3ff84b4c79f9,5.0,37.0,https://fr.getaround.com/location-voiture/paris/renault-clio-692945
2026-07-28T00:02:54,paris,698531,YGA:Vehicle:1f23b418100a,montreuil,48.854797,2.430423,0,0,346500,YGA:VehicleType:1f23b418100a,Renault,Clio,2017,combustion,YGA:PricingPlan:1f23b418100a,5.0,37.0,https://fr.getaround.com/location-voiture/montreuil/renault-clio-698531
2026-07-28T00:02:54,paris,699273,YGA:Vehicle:6d8c22ff676e,paris,48.843987,2.288375,0,0,369000,YGA:VehicleType:6d8c22ff676e,Renault,Clio,2017,combustion,YGA:PricingPlan:6d8c22ff676e,6.0,42.0,https://fr.getaround.com/location-voiture/paris/renault-clio-699273
2026-07-28T00:02:54,paris,701664,YGA:Vehicle:0adb965403d8,paris,48.8442,2.287873,0,0,297500,YGA:VehicleType:0adb965403d8,Renault,Twingo,2017,combustion,YGA:PricingPlan:0adb965403d8,5.0,40.0,https://fr.getaround.com/location-voiture/paris/renault-twingo-701664
2026-07-28T00:02:54,paris,701671,YGA:Vehicle:7313a0a9f75c,paris,48.852798,2.396974,0,0,87500,YGA:VehicleType:7313a0a9f75c,Renault,Twingo,2016,combustion,YGA:PricingPlan:7313a0a9f75c,5.0,34.0,https://fr.getaround.com/location-voiture/paris/renault-twingo-701671
2026-07-28T00:02:54,paris,705443,YGA:Vehicle:7dcc7a37f0ec,paris,48.840118,2.303623,0,0,440000,YGA:VehicleType:7dcc7a37f0ec,Peugeot,208,2020,combustion,YGA:PricingPlan:7dcc7a37f0ec,5.0,41.0,https://fr.getaround.com/location-voiture/paris/peugeot-208-705443
2026-07-28T00:02:54,paris,734535,YGA:Vehicle:c48ca3821bf3,levallois-perret,48.895302,2.298638,0,0,426000,YGA:VehicleType:c48ca3821bf3,Renault,Kangoo Express,2017,combustion_diesel,YGA:PricingPlan:c48ca3821bf3,6.0,47.0,https://fr.getaround.com/location-voiture/levallois-perret/renault-kangoo-express-734535
2026-07-28T00:02:54,paris,744656,YGA:Vehicle:855dbbba9f5a,suresnes,48.86282,2.215682,0,0,504000,YGA:VehicleType:855dbbba9f5a,Renault,Scenic,2013,combustion,YGA:PricingPlan:855dbbba9f5a,6.0,43.0,https://fr.getaround.com/location-voiture/suresnes/renault-scenic-744656
2026-07-28T00:02:54,paris,753726,YGA:Vehicle:e2174c16dc39,paris,48.843987,2.288375,0,0,560000,YGA:VehicleType:e2174c16dc39,Renault,Kangoo Express,2017,combustion_diesel,YGA:PricingPlan:e2174c16dc39,7.0,59.0,https://fr.getaround.com/location-voiture/paris/renault-kangoo-express-753726
2026-07-28T00:02:54,paris,753965,YGA:Vehicle:2938fb541860,paris,48.862152,2.354257,0,0,301500,YGA:VehicleType:2938fb541860,Opel,Corsa,2016,combustion,YGA:PricingPlan:2938fb541860,5.0,37.0,https://fr.getaround.com/location-voiture/paris/opel-corsa-753965
2026-07-28T00:02:54,paris,760134,YGA:Vehicle:30e946e306e3,paris,48.873486,2.324448,0,0,234000,YGA:VehicleType:30e946e306e3,Citroen,C3,2019,combustion,YGA:PricingPlan:30e946e306e3,5.0,37.0,https://fr.getaround.com/location-voiture/paris/citroen-c3-760134
2026-07-28T00:02:54,paris,763196,YGA:Vehicle:e05a389eb276,paris,48.825951,2.320607,0,0,350000,YGA:VehicleType:e05a389eb276,Peugeot,108,2017,combustion,YGA:PricingPlan:e05a389eb276,5.0,41.0,https://fr.getaround.com/location-voiture/paris/peugeot-108-763196
2026-07-28T00:02:54,paris,770352,YGA:Vehicle:d2609c15b559,paris,48.865047,2.407115,0,0,619500,YGA:VehicleType:d2609c15b559,Renault,Master,2013,combustion_diesel,YGA:PricingPlan:d2609c15b559,10.0,74.0,https://fr.getaround.com/location-voiture/paris/renault-master-770352
2026-07-28T00:02:54,paris,771661,YGA:Vehicle:2e06675c99ef,paris,48.842991,2.317086,0,0,516000,YGA:VehicleType:2e06675c99ef,Renault,Kangoo Express,2017,combustion_diesel,YGA:PricingPlan:2e06675c99ef,6.0,47.0,https://fr.getaround.com/location-voiture/paris/renault-kangoo-express-771661
2026-07-28T00:02:54,paris,782601,YGA:Vehicle:8061d910d388,boulogne-billancourt,48.840744,2.245542,0,0,384000,YGA:VehicleType:8061d910d388,Fiat,Tipo,2019,combustion,YGA:PricingPlan:8061d910d388,15.0,108.0,https://fr.getaround.com/location-voiture/boulogne-billancourt/fiat-tipo-782601
2026-07-28T00:02:54,paris,783686,YGA:Vehicle:d71859abc010,paris,48.890404,2.346125,0,0,436500,YGA:VehicleType:d71859abc010,Renault,Clio,2017,combustion,YGA:PricingPlan:d71859abc010,5.0,37.0,https://fr.getaround.com/location-voiture/paris/renault-clio-783686
2026-07-28T00:02:54,paris,787195,YGA:Vehicle:42f6220a29c7,paris,48.849644,2.285553,0,0,96600,YGA:VehicleType:42f6220a29c7,Renault,Clio E-tech,2020,hybrid,YGA:PricingPlan:42f6220a29c7,6.0,46.0,https://fr.getaround.com/location-voiture/paris/renault-clio-e-tech-787195
2026-07-28T00:02:54,paris,787198,YGA:Vehicle:81d108619efc,paris,48.849689,2.285664,0,0,390600,YGA:VehicleType:81d108619efc,Renault,Clio,2020,combustion,YGA:PricingPlan:81d108619efc,5.0,41.0,https://fr.getaround.com/location-voiture/paris/renault-clio-787198
2026-07-28T00:02:54,paris,787200,YGA:Vehicle:789771b4d500,paris,48.841625,2.375131,0,0,231000,YGA:VehicleType:789771b4d500,Renault,Clio,2020,combustion,YGA:PricingPlan:789771b4d500,5.0,41.0,https://fr.getaround.com/location-voiture/paris/renault-clio-787200
2026-07-28T00:02:54,paris,790333,YGA:Vehicle:797880d70de3,paris,48.877487,2.32243,0,0,234000,YGA:VehicleType:797880d70de3,Peugeot,Boxer,2012,combustion_diesel,YGA:PricingPlan:797880d70de3,8.0,62.0,https://fr.getaround.com/location-voiture/paris/peugeot-boxer-790333
2026-07-28T00:02:54,paris,802848,YGA:Vehicle:ca04eaeb8b6a,la-garenne-colombes,48.905693,2.241475,0,0,388000,YGA:VehicleType:ca04eaeb8b6a,Renault,Twingo,2011,combustion,YGA:PricingPlan:ca04eaeb8b6a,4.0,35.0,https://fr.getaround.com/location-voiture/la-garenne-colombes/renault-twingo-802848
2026-07-28T00:02:54,paris,805419,YGA:Vehicle:9bbbb0158170,clamart,48.791508,2.263946,0,0,465300,YGA:VehicleType:9bbbb0158170,Fiat,Tipo,2016,combustion_diesel,YGA:PricingPlan:9bbbb0158170,6.0,43.0,https://fr.getaround.com/location-voiture/clamart/fiat-tipo-805419
2026-07-28T00:02:54,paris,820511,YGA:Vehicle:cb3d25eb0839,paris,48.885632,2.371102,0,0,405000,YGA:VehicleType:cb3d25eb0839,Citroen,C4 Cactus,2016,combustion,YGA:PricingPlan:cb3d25eb0839,6.0,41.0,https://fr.getaround.com/location-voiture/paris/citroen-c4-cactus-820511
2026-07-28T00:02:54,paris,820823,YGA:Vehicle:bcc17a56deca,paris,48.875759,2.395174,0,0,288000,YGA:VehicleType:bcc17a56deca,Renault,Trafic,2014,combustion_diesel,YGA:PricingPlan:bcc17a56deca,8.0,60.0,https://fr.getaround.com/location-voiture/paris/renault-trafic-820823
2026-07-28T00:02:54,paris,820937,YGA:Vehicle:b8774daa0367,paris,48.844048,2.288158,0,0,148500,YGA:VehicleType:b8774daa0367,Renault,Clio,2017,combustion,YGA:PricingPlan:b8774daa0367,6.0,42.0,https://fr.getaround.com/location-voiture/paris/renault-clio-820937
2026-07-28T00:02:54,paris,820939,YGA:Vehicle:a8784ad971cb,paris,48.836651,2.320129,0,0,409500,YGA:VehicleType:a8784ad971cb,Renault,Clio,2017,combustion,YGA:PricingPlan:a8784ad971cb,6.0,42.0,https://fr.getaround.com/location-voiture/paris/renault-clio-820939
2026-07-28T00:02:54,paris,820943,YGA:Vehicle:a3dae42b6585,paris,48.829971,2.325737,0,0,352800,YGA:VehicleType:a3dae42b6585,Renault,Kangoo Express,2018,combustion_diesel,YGA:PricingPlan:a3dae42b6585,7.0,59.0,https://fr.getaround.com/location-voiture/paris/renault-kangoo-express-820943
2026-07-28T00:02:54,paris,821857,YGA:Vehicle:8626feed2deb,paris,48.852974,2.401255,0,0,144000,YGA:VehicleType:8626feed2deb,Citroen,Berlingo,2016,combustion_diesel,YGA:PricingPlan:8626feed2deb,6.0,42.0,https://fr.getaround.com/location-voiture/paris/citroen-berlingo-821857
2026-07-28T00:02:54,paris,823374,YGA:Vehicle:94d2cfef116d,boulogne-billancourt,48.833103,2.25679,0,0,134400,YGA:VehicleType:94d2cfef116d,Renault,Clio E-tech,2021,hybrid,YGA:PricingPlan:94d2cfef116d,6.0,44.0,https://fr.getaround.com/location-voiture/boulogne-billancourt/renault-clio-e-tech-823374
2026-07-28T00:02:54,paris,823380,YGA:Vehicle:c7a57214a0d2,paris,48.871529,2.339638,0,0,277200,YGA:VehicleType:c7a57214a0d2,Renault,Clio E-tech,2021,hybrid,YGA:PricingPlan:c7a57214a0d2,5.0,41.0,https://fr.getaround.com/location-voiture/paris/renault-clio-e-tech-823380
2026-07-28T00:02:54,paris,824680,YGA:Vehicle:c983cda91dcb,paris,48.893715,2.339493,0,0,752000,YGA:VehicleType:c983cda91dcb,Renault,Trafic,2015,combustion_diesel,YGA:PricingPlan:c983cda91dcb,10.0,79.0,https://fr.getaround.com/location-voiture/paris/renault-trafic-824680
2026-07-28T00:02:54,paris,824882,YGA:Vehicle:a4cf5124b441,paris,48.838421,2.312523,0,0,289800,YGA:VehicleType:a4cf5124b441,Ford,Fiesta,2013,combustion,YGA:PricingPlan:a4cf5124b441,5.0,36.0,https://fr.getaround.com/location-voiture/paris/ford-fiesta-824882
2026-07-28T00:02:54,paris,827673,YGA:Vehicle:4538075fc269,montreuil,48.861549,2.444016,0,0,350000,YGA:VehicleType:4538075fc269,Fiat,500,2017,combustion,YGA:PricingPlan:4538075fc269,4.0,31.0,https://fr.getaround.com/location-voiture/montreuil/fiat-500-827673
2026-07-28T00:02:54,paris,828092,YGA:Vehicle:08a9f6b2aae4,boulogne-billancourt,48.830292,2.237212,0,0,264600,YGA:VehicleType:08a9f6b2aae4,Toyota,Yaris Hybride,2021,hybrid,YGA:PricingPlan:08a9f6b2aae4,6.0,45.0,https://fr.getaround.com/location-voiture/boulogne-billancourt/toyota-yaris-hybride-828092
2026-07-28T00:02:54,paris,828093,YGA:Vehicle:2b2095e89150,paris,48.875332,2.337071,0,0,344400,YGA:VehicleType:2b2095e89150,Toyota,Yaris Hybride,2021,hybrid,YGA:PricingPlan:2b2095e89150,6.0,45.0,https://fr.getaround.com/location-voiture/paris/toyota-yaris-hybride-828093
