stop_id,nom,commune,mode,lat,lon
IDFM:41850,Robert Wagner,Vélizy-Villacoublay,Tramway,48.78517390333494,2.1788820103815865
IDFM:41851,Vélizy 2,Vélizy-Villacoublay,Tramway,48.78490967437756,2.2199908686470313
IDFM:42117,Delaunay - Belleville,Saint-Denis,Tramway,48.94558583371818,2.347405183595505
IDFM:42103,Les Mobiles,Épinay-sur-Seine,Tramway,48.95014603352277,2.3280277652566626
IDFM:42104,Rose Bertin,Épinay-sur-Seine,Tramway,48.95326677412415,2.315356850330502
IDFM:42129,Villetaneuse - Université,Villetaneuse,Tramway,48.95926160265617,2.342071486091147
IDFM:42127,Villetaneuse - Université,Villetaneuse,Tramway,48.95931503044353,2.341975216299932
IDFM:42112,Épinay-sur-Seine - Gare,Épinay-sur-Seine,Tramway,48.95573389275546,2.3018601844901805
IDFM:42113,Gilbert Bonnemaison,Épinay-sur-Seine,Tramway,48.95540935753423,2.3079274852128253
IDFM:42114,Les Béatus,Épinay-sur-Seine,Tramway,48.95143910339942,2.321306841575554
IDFM:42120,Saint-Denis - Porte de Paris,Saint-Denis,Tramway,48.9298566726865,2.357265622467154
IDFM:471289,Rougemont Chanteloup,Sevran,Tramway,48.930967005263184,2.5148669130183867
IDFM:472197,Freinville Sevran,Sevran,Tramway,48.926496496259446,2.5190574106987182
IDFM:472657,L'Abbaye,Livry-Gargan,Tramway,48.92182707221902,2.5162894528120816
IDFM:478655,Romain Rolland,Clichy-sous-Bois,Tramway,48.90477431674464,2.5479602585141476
IDFM:478662,République - Marx Dormoy,Livry-Gargan,Tramway,48.90658774434411,2.5239342778690173
IDFM:472211,Gargan,Les Pavillons-sous-Bois,Tramway,48.90725017733822,2.5164385595960947
IDFM:471837,Remise à Jorelle,Bondy,Tramway,48.89312070600031,2.487969467567442
IDFM:478658,Léon Blum,Livry-Gargan,Tramway,48.90847306396708,2.5322527111714215
IDFM:478654,Maurice Audin,Clichy-sous-Bois,Tramway,48.908383072890395,2.539197627721811
IDFM:478660,Hôpital de Montfermeil,Montfermeil,Tramway,48.900946202680906,2.570746146903078
IDFM:478656,Hôpital de Montfermeil,Montfermeil,Tramway,48.90090084796803,2.570637395661968
IDFM:472376,Remise à Jorelle,Bondy,Tramway,48.89304870590511,2.4879565369580985
IDFM:472077,L'Abbaye,Livry-Gargan,Tramway,48.92180048027322,2.516385223304965
IDFM:472194,Le Bourget,Le Bourget,Tramway,48.93029231335691,2.4234557772724115
IDFM:478996,Beethoven - Concorde,Vitry-sur-Seine,Tramway,48.798832845790145,2.3814388386870005
IDFM:478997,Mairie de Vitry-sur-Seine,Vitry-sur-Seine,Tramway,48.790565474335686,2.388057013379568
IDFM:478992,Camille Groult,Vitry-sur-Seine,Tramway,48.78567462213213,2.3919526005440157
IDFM:479008,Christophe Colomb,Orly,Tramway,48.752170331546736,2.417003173639414
