id,url,address,postal_code,lat,lon,geocode_score
1216,https://www.yespark.fr/parkings/1216-olympiades-porte-de-choisy-paris-13,"5 avenue de Choisy, 75013 Paris",75013,48.820435,2.364178,0.9833936363636363
1217,https://www.yespark.fr/parkings/1217-metro-porte-de-choisy-26-avenue-de-choisy-paris-13,"26 avenue de Choisy, 75013 Paris",75013,48.821792,2.363602,0.9833936363636363
1218,https://www.yespark.fr/parkings/1218-plaisance-rue-d-alesia-paris-14,"15 rue Bardinet, 75014 Paris",75014,48.830407,2.316717,0.9728227272727272
1219,https://www.yespark.fr/parkings/1219-metro-plaisance-paris-14,"207 rue Vercingétorix, 75014 Paris",75014,48.830739,2.308605,0.9817627272727272
1220,https://www.yespark.fr/parkings/1220-bibliotheque-aime-cesaire-plaisance-paris-14,"207 rue Vercingétorix, 75014 Paris",75014,48.830739,2.308605,0.9817627272727272
1221,https://www.yespark.fr/parkings/1221-hopital-saint-joseph-paris-14,"7 Cité blanche, 75014 Paris",75014,48.829431,2.307679,0.968740909090909
1222,https://www.yespark.fr/parkings/1222-didot-boulevard-brune-paris-14,"65 boulevard Brune, 75014 Paris",75014,48.826651,2.310994,0.9806772727272727
1223,https://www.yespark.fr/parkings/1223-rue-didot-paris-14,"56 rue Didot, 75014 Paris",75014,48.830112,2.318265,0.9801381818181817
1224,https://www.yespark.fr/parkings/1224-simplon-poissonniers-porte-de-clignancourt-paris-18,"21 rue Jean Cocteau, 75018 Paris",75018,48.899321,2.348058,0.9746390909090908
1225,https://www.yespark.fr/parkings/1225-centquatre-paris-19,"102 rue Aubervilliers, 75019 Paris",75019,48.890105,2.368578,0.8435062032085561
1226,https://www.yespark.fr/parkings/1226-paris-20-belleville,"55 rue Bisson, 75020 Paris",75020,48.870211,2.382974,0.9774436363636363
1229,https://www.yespark.fr/parkings/1229-centre-ville-rue-du-val-d-osne-saint-maurice,"4 rue du Val d'Osne, 94410 Saint-Maurice",94410,48.818493,2.42449,0.965250909090909
1231,https://www.yespark.fr/parkings/1231-guynemer-rue-de-malakoff-chatillon,"1 rue Maximilien Robespierre, 92320 Châtillon",92320,48.821494,2.271385,0.5922977470355731
1232,https://www.yespark.fr/parkings/1232-eglise-gare-neuilly-plaisance,"29 bis boulevard Gallieni, 93360 Neuilly-Plaisance",93360,48.853326,2.515316,0.8255226901669759
1233,https://www.yespark.fr/parkings/1233-renault-billancourt-parc-billancourt-boulogne-billancourt,"31 rue Marcel Bontemps, 92100 Boulogne-Billancourt",92100,48.826772,2.239003,0.8347390909090908
1325,https://www.yespark.fr/parkings/1325-bercy-charenton-le-pont,"12 rue du Nouveau Bercy, 94220 Charenton-le-Pont",94220,48.823569,2.397093,0.962771818181818
1327,https://www.yespark.fr/parkings/1327-hauts-de-vanves,"5 bis rue Larmeroux, 92170 Vanves",92170,48.817085,2.282161,0.8000090909090909
1329,https://www.yespark.fr/parkings/1329-paris-13-patay-massena,"41 rue des Terres au Curé, 75013 Paris",75013,48.825296,2.371832,0.9764354545454544
1331,https://www.yespark.fr/parkings/1331-paris-19-bas-belleville,"23 rue Rebeval, 75019 Paris",75019,48.874468,2.377876,0.9796209090909089
1340,https://www.yespark.fr/parkings/1340-moulin-a-vent-le-mainguy-bondy,"7 rue du Breuil, 93140 Bondy",93140,48.903511,2.476224,0.9719427272727272
1342,https://www.yespark.fr/parkings/1342-les-econdeaux-epinay-sur-seine,"15 rue la Bruyère, 93800 Épinay-sur-Seine",93800,48.959839,2.317317,0.9673672727272726
1343,https://www.yespark.fr/parkings/1343-tramway-epinay-sur-seine-avenue-joffre-epinay-sur-seine,"58 avenue Joffre, 93800 Épinay-sur-Seine",93800,48.958942,2.300716,0.9756536363636362
1344,https://www.yespark.fr/parkings/1344-hoche-verpantin-sept-arpents-le-pre-saint-gervais,"3 rue Danton, 93310 Le Pré-Saint-Gervais",93310,48.884238,2.403972,0.9671327272727273
1345,https://www.yespark.fr/parkings/1345-solidarite-carnot-montreuil,"36 rue Colmet Lépinay, 93100 Montreuil",93100,48.855145,2.442348,0.9774945454545455
1346,https://www.yespark.fr/parkings/1346-tramway-petit-noisy-rue-du-dr-charcot-noisy-le-sec,"15 rue du Dr Charcot, 93130 Noisy-le-Sec",93130,48.89912,2.465497,0.7486565289256197
1348,https://www.yespark.fr/parkings/1348-tramway-jacques-prevert-bis-rue-jules-chatenay-pierrefitte-sur-seine,"44 bis rue Jules Châtenay, 93380 Pierrefitte-sur-Seine",93380,48.968415,2.368788,0.8427078216123499
1349,https://www.yespark.fr/parkings/1349-le-fort-rosny-sous-bois,"3 rue Jean Allemane, 93110 Rosny-sous-Bois",93110,48.872255,2.472719,0.96501
1350,https://www.yespark.fr/parkings/1350-tramway-hopital-delafontaine-rue-albert-einstein-saint-denis,"5 rue Albert Einstein, 93200 Saint-Denis",93200,48.934319,2.368301,0.971381818181818
1351,https://www.yespark.fr/parkings/1351-cimetiere-parisien-de-saint-ouen,"46 bis avenue Michelet, 93400 Saint-Ouen",93400,48.908325,2.344185,0.5943618181818182
1356,https://www.yespark.fr/parkings/1356-mairie-annexe-bagneux,"2 rue Coquarts, 92220 Bagneux",92220,48.790426,2.311943,0.7644190615835776
1357,https://www.yespark.fr/parkings/1357-stade-alain-mimoun-choisy-le-roi,"37 - 39 avenue Rosa Luxemburg, 94600 Choisy-le-Roi",94600,48.75261,2.406287,0.8167694071146245
1358,https://www.yespark.fr/parkings/1358-metro-creteil-pointe-du-lac-allee-de-la-sirene,"5 allée de la Sirène, 94000 Créteil",94000,48.769816,2.460342,0.9655699999999999
1359,https://www.yespark.fr/parkings/1359-champeval-creteil,"22 rue du Général Sarrail, 94000 Créteil",94000,48.793798,2.453493,0.9735209090909089
1361,https://www.yespark.fr/parkings/1361-plateau-sud-vitry-sur-seine,"30 rue Henri Matisse, 94400 Vitry-sur-Seine",94400,48.778692,2.393816,0.9725590909090908
1363,https://www.yespark.fr/parkings/1363-rer-le-chenay-gagny-rue-jean-bouin,"17 rue Jean Bouin, 93220 Gagny",93220,48.879844,2.553324,0.96798
1364,https://www.yespark.fr/parkings/1364-rer-vert-galant-avenue-gilbert-berger-tremblay-en-france,"98 avenue Gilbert Berger, 93290 Tremblay-en-France",93290,48.946183,2.570582,0.9739090909090907
1378,https://www.yespark.fr/parkings/1378-firmin-genier-sadi-carnot-aubervilliers,"4 rue Mouloud Aounit, 93300 Aubervilliers",93300,48.918761,2.381403,0.9653181818181817
1379,https://www.yespark.fr/parkings/1379-le-globe-stains,"70 avenue de Stalingrad, 93240 Stains",93240,48.948723,2.381751,0.9738672727272726
1403,https://www.yespark.fr/parkings/1403-cimetiere-de-bois-colombes-asnieres-sur-seine,"2 avenue Jules Durand, 92600 Asnières-sur-Seine",92600,48.927631,2.279668,0.9649899999999998
1404,https://www.yespark.fr/parkings/1404-stade-de-l-ile-billancourt-issy-les-moulineaux,"55 avenue du Bas Meudon, 92130 Issy-les-Moulineaux",92130,48.821815,2.243873,0.976141818181818
1405,https://www.yespark.fr/parkings/1405-brochant-avenue-de-clichy-paris-17,"91 avenue de Clichy, 75017 Paris",75017,48.888714,2.323181,0.9826709090909089
1406,https://www.yespark.fr/parkings/1406-parc-sud-nanterre,"18 rue Edmond Dubuis, 92000 Nanterre",92000,48.88993,2.220036,0.9676218181818181
1407,https://www.yespark.fr/parkings/1407-champerret-porte-d-asnieres-levallois-perret,"2 rue Maurice Ravel, 92300 Levallois-Perret",92300,48.889838,2.294442,0.9619972727272726
1412,https://www.yespark.fr/parkings/1412-metro-asnieres-gennevilliers-les-courtilles,"1 rue Charles Linné, 92600 Asnières-sur-Seine",92600,48.927972,2.278454,0.9649899999999998
1413,https://www.yespark.fr/parkings/1413-metro-mairie-des-lilas-rue-de-l-egalite-les-lilas,"76 rue de l'Egalité, 93260 Les Lilas",93260,48.882139,2.412895,0.9645436363636364
1416,https://www.yespark.fr/parkings/1416-gare-de-nanterre-prefecture,"11 rue Edmond Dubuis, 92000 Nanterre",92000,48.890788,2.219364,0.9676218181818181
1417,https://www.yespark.fr/parkings/1417-barbes-chateau-rouge-paris-18,"15 rue Ernestine, 75018 Paris",75018,48.889563,2.354474,0.9744845454545454
1418,https://www.yespark.fr/parkings/1418-maraichers-rue-d-avron-paris-20,"63 rue d'Avron, 75020 Paris",75020,48.852273,2.403194,0.9824645454545453
1420,https://www.yespark.fr/parkings/1420-ecole-nationale-superieure-d-architecture-paris-10,"8 rue du Chalet, 75010 Paris",75010,48.87353,2.373888,0.9707754545454544
1421,https://www.yespark.fr/parkings/1421-courbevoie-fb-de-l-arche-les-fauvelles,"49 rue des Lilas d'Espagne, 92400 Courbevoie",92400,48.897918,2.23611,0.8212066233766233
1424,https://www.yespark.fr/parkings/1424-grande-arche-de-la-defense-courbevoie,"39 avenue Puvis de Chavannes, 92400 Courbevoie",92400,48.899262,2.235892,0.9744809090909089
1428,https://www.yespark.fr/parkings/1428-ecole-pierre-demont-fontenay-sous-bois,"16 rue des Alouettes, 94120 Fontenay-sous-Bois",94120,48.855734,2.495279,0.969500909090909
1429,https://www.yespark.fr/parkings/1429-place-camille-desmoulins-villepinte,"2 place Camille Desmoulins, 93420 Villepinte",93420,48.955522,2.54738,0.957421818181818
1436,https://www.yespark.fr/parkings/1436-haut-goulet-noisy-le-sec,"2 rue Tripier, 93130 Noisy-le-Sec",93130,48.890787,2.45035,0.9692636363636362
1449,https://www.yespark.fr/parkings/1449-montsouris-dareau-alesia-paris-14,"35 rue Saint-Gothard, 75014 Paris",75014,48.827769,2.33558,0.8113929411764705
1450,https://www.yespark.fr/parkings/1450-square-des-batignolles-paris-17,"120 bis rue de Saussure, 75017 Paris",75017,48.888444,2.310184,0.7326036363636365
1453,https://www.yespark.fr/parkings/1453-boulevard-du-marechal-joffre-bourg-la-reine,"35 boulevard du Maréchal Joffre, 92340 Bourg-la-Reine",92340,48.784103,2.315931,0.9699427272727272
1459,https://www.yespark.fr/parkings/1459-gare-zone-d-activites-du-commandant-rolland-le-bourget,"24 avenue de la Division Leclerc, 93350 Le Bourget",93350,48.932702,2.423841,0.9702381818181817
1460,https://www.yespark.fr/parkings/1460-metro-fort-d-aubervilliers-ter-rue-emilie-dubois,"213 ter rue Emilie Dubois, 93300 Aubervilliers",93300,48.91388,2.402391,0.6744090909090908
1462,https://www.yespark.fr/parkings/1462-parc-des-chanteraines-villeneuve-la-garenne,"7 rue du Maréchal de Lattre de Tassigny, 92390 Villeneuve-la-Garenne",92390,48.938088,2.32575,0.8062619834710743
1465,https://www.yespark.fr/parkings/1465-metro-mairie-d-ivry-rue-louis-rousseau-ivry-sur-seine,"13 - 15 rue Louis Rousseau, 94200 Ivry-sur-Seine",94200,48.812859,2.382661,0.8218312396694214
1468,https://www.yespark.fr/parkings/1468-hopital-rothschild-bel-air-paris-12,"18 boulevard de Picpus, 75012 Paris",75012,48.840384,2.400869,0.9795781818181818
